SiteName,Region,Island_Code,Annotation_Status,Latitude,Longitude,#Timepoints,TP0,TP1,TP2,TP3,TP4,TP5,TP6,TP7
OAH_OCC_010,MHI,OAH,complete,21.288,-157.9,2,3/7/2017,5/7/2019,,,,,,
MAI_SIO_OL3,MHI,MAI,complete,20.805,-156.6,6,7/22/2014,7/14/2015,11/4/2015,6/16/2016,11/29/2016,7/26/2017,,
MAI_SIO_KO1,MHI,MAI,complete,20.937,-156.694,7,7/21/2014,7/10/2015,11/2/2015,6/16/2016,7/4/2016,11/30/16,7/28/2017,9/14/18
MAI_SIO_K02,MHI,MAI,complete,20.93884,-156.69383,5,7/21/2014,7/11/2015,7/4/2016,8/2/2017,9/14/18,,,
HAW_OCC_010,MHI,HAW,complete,19.244,-155.9,2,8/11/2016,7/19/2019,,,,,,
HAW_SIO_K08,MHI,HAW,complete,19.443,-155.913,3,4/13/2015,4/8/2017,7/19/2019,,,,,
MOL_SIO_908,MHI,MOL,in progress,21.03795,-156.897,2,4/19/2017,5/3/2019,,,,,,
HAW_SIO_K10,MHI,HAW,complete,19.64222,-156.01208,3,4/15/2015,4/8/2017,7/17/2019,,,,,
HAW_OCC_002,MHI,HAW,complete,20.268,-155.9,2,8/15/2016,7/15/2019,,,,,,
FFS_OCC_002,NWHI,FFS,complete,23.878152,-166.29106,3,9/6/2013,9/25/2016,8/28/2019,,,,,
FFS_OCC_014,NWHI,FFS,complete,23.792456,-166.253732,3,9/6/2013,9/2/2016,8/27/2019,,,,,
LIS_OCC_005,NWHI,LIS,in progress,26.03741,-173.87918,3,9/12/2013,9/18/2016,8/30/2019,,,,,
KUR_OCC_010,NWHI,KUR,complete,28.385,-178.3,2,9/12/2016,9/2/2019,,,,,,
PHR_OCC_016,NWHI,PHR,complete,27.793,-175.9971,3,9/11/2013,9/11/2016,9/4/2019,,,,,
HAW_OCC_003,MHI,HAW,complete,19.747,-155.1,2,8/8/2016,7/13/2019,,,,,,
OAH_XXX_022,MHI,OAH,complete,21.48,-157.783,3,8/1/16,10/4/18,,,,,,
MAI_OCC_002,MHI,MAI,complete,20.869,-156.146,2,7/14/2016,4/27/2019,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,