"","Sites","sitesplit","Years","yrsplit","Genus_Code","s.int","s.slp"
"1","All",NA,"All",NA,"MOSP",-0.949836694037485,0.417319285459903
"2","All",NA,"All",NA,"MOSP",-0.949836694037485,0.417319285459903
"3","MAI_SIO_K01",NA,"All_Years",NA,"MOSP",0.311710080738163,0.13281636067908
"4","FFS_OCC_002",NA,"All_Years",NA,"MOSP",-2.15239765895708,0.0898441534643953
"5","FFS_OCC_014",NA,"All_Years",NA,"MOSP",0.749043879005239,-0.0420852686919682
"6","HAW_OCC_002",NA,"All_Years",NA,"MOSP",1.01366405903279,-0.428039577349746
"7","HAW_OCC_003",NA,"All_Years",NA,"MOSP",-4.47205166226385,1.41801245995297
"8","HAW_OCC_010",NA,"All_Years",NA,"MOSP",-2.72104623054425,0.697829803006434
"9","HAW_SIO_K08",NA,"All_Years",NA,"MOSP",-15.5660682487953,1.23648313810065e-12
"10","HAW_SIO_K10",NA,"All_Years",NA,"MOSP",0.845377914947868,-0.176577192557189
"11","MAI_SIO_K02",NA,"All_Years",NA,"MOSP",-1.87859067252112,0.718267171613959
"12","All_Sites",NA,"14-15",NA,"MOSP",-1.42259299968473,0.591084429423447
"13","All_Sites",NA,"15-16",NA,"MOSP",1.01023241350041,0.114008107930349
"14","All_Sites",NA,"16-18",NA,"MOSP",-3.18918222766562,0.819093044143226
"15","All_Sites",NA,"14-16",NA,"MOSP",12.2843103290589,NA
"16","All_Sites",NA,"13-16",NA,"MOSP",-3.8394063440878,1.16595440610585
"17","All_Sites",NA,"16-19",NA,"MOSP",-0.667150080865019,0.298785096878102
"18","All_Sites",NA,"15-17",NA,"MOSP",-0.207328881306821,-0.307360673764869
"19","All_Sites",NA,"17-19",NA,"MOSP",15.5660682488832,-4.03258537673423e-11
"20","All_Sites",NA,"17-18",NA,"MOSP",0.889704140467987,0.179643127690212
"21","All_Sites",NA,"16-17",NA,"MOSP",0.425625535725563,0.0421644414026805
"22","MAI_SIO_K01","14-15","MAI_SIO_K01","14-15","MOSP",0.808588923651919,0.0242017523997952
"23","MAI_SIO_K01","15-16","MAI_SIO_K01","15-16","MOSP",1.52683804412584,-0.0345212476446596
"24","MAI_SIO_K01","16-18","MAI_SIO_K01","16-18","MOSP",-3.18918222766561,0.819093044143223
"25","MAI_SIO_K01","14-16","MAI_SIO_K01","14-16","MOSP",16.431697952581,NA
"26","FFS_OCC_002","13-16","FFS_OCC_002","13-16","MOSP",-3.62790828761796,0.650329367787638
"27","FFS_OCC_002","16-19","FFS_OCC_002","16-19","MOSP",-0.860408311097793,-0.364388156447105
"28","FFS_OCC_014","13-16","FFS_OCC_014","13-16","MOSP",16.5660684227977,-7.06532471417276e-11
"29","FFS_OCC_014","16-19","FFS_OCC_014","16-19","MOSP",-0.512310789281813,0.092672249159219
"30","HAW_OCC_002","16-19","HAW_OCC_002","16-19","MOSP",1.01366405903279,-0.428039577349744
"31","HAW_OCC_003","16-19","HAW_OCC_003","16-19","MOSP",-4.47205166226385,1.41801245995297
"32","HAW_OCC_010","16-19","HAW_OCC_010","16-19","MOSP",-2.72104623054426,0.697829803006436
"33","HAW_SIO_K08","15-17","HAW_SIO_K08","15-17","MOSP",-16.5660684224673,-5.39325528681189e-14
"34","HAW_SIO_K10","15-17","HAW_SIO_K10","15-17","MOSP",-0.15447169963776,-0.0512920196227718
"35","HAW_SIO_K10","17-19","HAW_SIO_K10","17-19","MOSP",16.5660684226658,-2.10971379255298e-11
"36","MAI_SIO_K02","17-18","MAI_SIO_K02","17-18","MOSP",0.88970414046799,0.179643127690211
"37","MAI_SIO_K02","16-17","MAI_SIO_K02","16-17","MOSP",0.425625535725558,0.0421644414026818
"38","MAI_SIO_K02","15-16","MAI_SIO_K02","15-16","MOSP",0.0930783633606558,0.374097961018778
"39","MAI_SIO_K02","14-15","MAI_SIO_K02","14-15","MOSP",-5.6486039296072,1.80562365184474
"40","All",NA,"All",NA,"POSP",-0.310607409239081,0.319655282392586
"41","All",NA,"All",NA,"POSP",-0.310607409239081,0.319655282392586
"42","MAI_SIO_K01",NA,"All_Years",NA,"POSP",1.68537173039515,0.203101741715486
"43","FFS_OCC_002",NA,"All_Years",NA,"POSP",-2.37474928456344,0.0922790390156865
"44","FFS_OCC_014",NA,"All_Years",NA,"POSP",-1.74767681411703,0.514824494131995
"45","HAW_OCC_002",NA,"All_Years",NA,"POSP",0.759583872826623,0.0165288485955466
"46","HAW_OCC_003",NA,"All_Years",NA,"POSP",-2.3261609642215,0.869656386593427
"47","HAW_OCC_010",NA,"All_Years",NA,"POSP",-2.30909934340316,0.894644535509422
"48","HAW_SIO_K08",NA,"All_Years",NA,"POSP",-0.447331421814221,0.182663031120323
"49","HAW_SIO_K10",NA,"All_Years",NA,"POSP",0.0122426203129751,0.139236118624805
"50","KUR_OCC_010",NA,"All_Years",NA,"POSP",-1.06914144697904,0.170128041490765
"51","MAI_OCC_002",NA,"All_Years",NA,"POSP",1.03975004965588,-0.166302441340954
"52","MAI_SIO_K02",NA,"All_Years",NA,"POSP",-0.0123279147386206,0.366537074287648
"53","All_Sites",NA,"14-15",NA,"POSP",-1.74292845915084,1.38244910436178
"54","All_Sites",NA,"15-16",NA,"POSP",0.470223628831568,0.111901307587665
"55","All_Sites",NA,"16-18",NA,"POSP",0.828938834449887,0.322431562619761
"56","All_Sites",NA,"14-16",NA,"POSP",13.5660664933934,-4.69047023443636e-12
"57","All_Sites",NA,"13-16",NA,"POSP",-3.67642343940031,0.872578833867304
"58","All_Sites",NA,"16-19",NA,"POSP",-0.219748504131719,0.223184156584926
"59","All_Sites",NA,"15-17",NA,"POSP",-1.54081283354351,0.349127824287578
"60","All_Sites",NA,"17-19",NA,"POSP",1.51657608801767,0.0645052249450195
"61","All_Sites",NA,"15-19",NA,"POSP",13.5660664933859,-2.1032064978499e-12
"62","All_Sites",NA,"17-18",NA,"POSP",1.26844300182656,0.0723244467377573
"63","All_Sites",NA,"16-17",NA,"POSP",1.06995081731491,0.149568953473276
"64","MAI_SIO_K01","14-15","MAI_SIO_K01","14-15","POSP",5.44077764867491,-0.457827974739099
"65","MAI_SIO_K01","15-16","MAI_SIO_K01","15-16","POSP",0.411312048129821,0.46435199173561
"66","MAI_SIO_K01","16-18","MAI_SIO_K01","16-18","POSP",0.828938834449853,0.322431562619764
"67","MAI_SIO_K01","14-16","MAI_SIO_K01","14-16","POSP",15.6538704577051,NA
"68","FFS_OCC_002","13-16","FFS_OCC_002","13-16","POSP",-3.38164482205837,0.322082713817991
"69","FFS_OCC_002","16-19","FFS_OCC_002","16-19","POSP",-1.64053081372841,0.0240085696557737
"70","FFS_OCC_014","13-16","FFS_OCC_014","13-16","POSP",-0.250838610421764,0.359692913785036
"71","FFS_OCC_014","16-19","FFS_OCC_014","16-19","POSP",-2.2623145979872,0.514878836261097
"72","HAW_OCC_002","16-19","HAW_OCC_002","16-19","POSP",0.759583872826623,0.0165288485955498
"73","HAW_OCC_003","16-19","HAW_OCC_003","16-19","POSP",-2.32616096436598,0.869656386644625
"74","HAW_OCC_010","16-19","HAW_OCC_010","16-19","POSP",-2.30909934340315,0.894644535509424
"75","HAW_SIO_K08","15-17","HAW_SIO_K08","15-17","POSP",-1.85199133790116,0.392924837360147
"76","HAW_SIO_K08","17-19","HAW_SIO_K08","17-19","POSP",1.56754210949014,-0.0131262013200756
"77","HAW_SIO_K08","15-19","HAW_SIO_K08","15-19","POSP",14.5660677766343,1.06009645506333e-11
"78","HAW_SIO_K10","15-17","HAW_SIO_K10","15-17","POSP",-1.39458069143693,0.330739832117633
"79","HAW_SIO_K10","15-19","HAW_SIO_K10","15-19","POSP",14.9222024879002,NA
"80","HAW_SIO_K10","17-19","HAW_SIO_K10","17-19","POSP",1.47224315079422,0.118920020889601
"81","KUR_OCC_010","16-19","KUR_OCC_010","16-19","POSP",-1.06914144697904,0.170128041490765
"82","MAI_OCC_002","16-19","MAI_OCC_002","16-19","POSP",1.03975004965585,-0.166302441340953
"83","MAI_SIO_K02","17-18","MAI_SIO_K02","17-18","POSP",1.26844300182656,0.0723244467377592
"84","MAI_SIO_K02","16-17","MAI_SIO_K02","16-17","POSP",1.06995081731492,0.149568953473277
"85","MAI_SIO_K02","15-17","MAI_SIO_K02","15-17","POSP",15.6956469885729,NA
"86","MAI_SIO_K02","15-16","MAI_SIO_K02","15-16","POSP",0.420424558644684,0.0287958170640749
"87","MAI_SIO_K02","14-16","MAI_SIO_K02","14-16","POSP",16.4439817943364,NA
"88","MAI_SIO_K02","14-15","MAI_SIO_K02","14-15","POSP",-2.01247618149792,1.3411673589685
"89","All",NA,"All",NA,"POCS",-0.169943500406984,0.260281657675584
"90","All",NA,"All",NA,"POCS",-0.169943500406984,0.260281657675584
"91","MAI_SIO_K01",NA,"All_Years",NA,"POCS",-2.49601822211446,0.786280708442141
"92","FFS_OCC_002",NA,"All_Years",NA,"POCS",-19.5660685185244,1.39084299632941e-11
"93","FFS_OCC_014",NA,"All_Years",NA,"POCS",2.01952107300312,-0.461590728052468
"94","HAW_OCC_002",NA,"All_Years",NA,"POCS",-0.350273668347478,-0.3623879130964
"95","HAW_OCC_003",NA,"All_Years",NA,"POCS",19.5660685114262,-4.2229775232272e-11
"96","HAW_OCC_010",NA,"All_Years",NA,"POCS",NA,NA
"97","HAW_SIO_K08",NA,"All_Years",NA,"POCS",-19.5660685185475,3.81528142412435e-12
"98","HAW_SIO_K10",NA,"All_Years",NA,"POCS",-23.1934399664246,NA
"99","KUR_OCC_010",NA,"All_Years",NA,"POCS",19.5660685203472,2.27221574888858e-11
"100","MAI_OCC_002",NA,"All_Years",NA,"POCS",3.27232654200291,-0.545257114610989
"101","MAI_SIO_K02",NA,"All_Years",NA,"POCS",-0.984258561299282,0.958222599175929
"102","All_Sites",NA,"14-15",NA,"POCS",18.5660684897252,4.49210041924208e-09
"103","All_Sites",NA,"15-16",NA,"POCS",-57.8674409667556,14.0774605750234
"104","All_Sites",NA,"16-18",NA,"POCS",290.924944101775,-66.675719950248
"105","All_Sites",NA,"13-16",NA,"POCS",-18.5660685098787,8.56998659606395e-12
"106","All_Sites",NA,"16-19",NA,"POCS",0.150132559056463,0.244014177797441
"107","All_Sites",NA,"15-17",NA,"POCS",-18.5660685098749,1.93533950078908e-12
"108","All_Sites",NA,"17-18",NA,"POCS",18.5660685155407,-1.76698249248693e-09
"109","All_Sites",NA,"16-17",NA,"POCS",18.5660684865941,NA
"110","MAI_SIO_K01","14-15","MAI_SIO_K01","14-15","POCS",20.5660664248617,4.80222238179571e-07
"111","MAI_SIO_K01","15-16","MAI_SIO_K01","15-16","POCS",-69.8262981737207,16.986701731079
"112","MAI_SIO_K01","16-18","MAI_SIO_K01","16-18","POCS",322.264368053579,-73.8582551610187
"113","FFS_OCC_002","13-16","FFS_OCC_002","13-16","POCS",-20.5660685216726,-1.32352834974213e-11
"114","FFS_OCC_002","16-19","FFS_OCC_002","16-19","POCS",-20.566068521724,1.61546094863103e-11
"115","FFS_OCC_014","16-19","FFS_OCC_014","16-19","POCS",2.01952107300312,-0.461590728052473
"116","HAW_OCC_002","16-19","HAW_OCC_002","16-19","POCS",-0.350273668347509,-0.362387913096402
"117","HAW_OCC_003","16-19","HAW_OCC_003","16-19","POCS",20.5660684839943,8.76004792890577e-09
"118","HAW_OCC_010","16-19","HAW_OCC_010","16-19","POCS",NA,NA
"119","HAW_SIO_K08","15-17","HAW_SIO_K08","15-17","POCS",-20.5660685216841,-1.52607277508897e-12
"120","HAW_SIO_K10","15-17","HAW_SIO_K10","15-17","POCS",-20.5660707371184,NA
"121","KUR_OCC_010","16-19","KUR_OCC_010","16-19","POCS",20.5660685393492,-4.58092646388689e-11
"122","MAI_OCC_002","16-19","MAI_OCC_002","16-19","POCS",3.27232654200288,-0.545257114610992
"123","MAI_SIO_K02","17-18","MAI_SIO_K02","17-18","POCS",20.566068521859,3.62660253689352e-09
"124","MAI_SIO_K02","16-17","MAI_SIO_K02","16-17","POCS",20.5660662095613,NA
"125","MAI_SIO_K02","15-16","MAI_SIO_K02","15-16","POCS",-49.1736345039881,11.7868147466312
"126","MAI_SIO_K02","14-15","MAI_SIO_K02","14-15","POCS",20.5660685058356,4.57135790401375e-09
